0,1,0 | 6,43,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,43,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,34,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,34,6 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,34,6 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,34,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,34,6 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,34,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,34,7 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,34,7 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,34,7 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,34,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,34,7 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,34,8 | S=(0,0) | I= | sp=938 | ip=
0,1,0 | 6,44,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,44,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,44,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,44,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,44,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,35,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,35,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,35,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,35,7 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,35,7 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,35,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,35,7 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,35,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,35,8 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,35,8 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,35,8 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,35,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,35,8 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=936 | ip=
