0 | 6 | S=(0,0) | I= | sp=44 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=35 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=99910 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=99910 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=99920 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=99920 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=99930 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=994 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=994 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=994 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=995 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=995 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=9910 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=9910 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=9912 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=9912 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=9912 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=9913 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=9913 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=9913 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=9914 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=9914 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=918 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=918 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=918 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=918 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=920 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=920 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=920 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=920 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=921 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=921 | ip= | E=(0,1,0,0) | ep=2
