0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=45 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=55 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=99930 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=996 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=9912 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=918 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=919 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=920 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=921 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=922 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=945 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=9915 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=946 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=947 | ip=1
