0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=886 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=94 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=996 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=919 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=9915 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=946 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=886 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=94 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=996 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=919 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=9915 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=946 | ip=
